Prospect_ID,Prospect_Type,Category_Subtype,Entity_Name,Contact_Name,Contact_Title,Email,Phone,Property_or_Facility_Address,City,State,Distress_Signal_or_Buying_Criteria,Antigravity_Priority_Score,QA_Verification_Status,Lead_Source,Pipeline_Status
PROSPECT-060,Seller,Distressed Real Estate Seller,Private Residential Property,Betty Brown,Property Owner,betty.brown@gmail.com,+1 (972) 288-8283,"9690 FOREST LN, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-061,Seller,Distressed Real Estate Seller,Private Residential Property,John Robinson,Property Owner,john.robinson@gmail.com,+1 (972) 688-3490,"10798 COLEWOOD LN, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-062,Seller,Distressed Real Estate Seller,Private Residential Property,Betty Thompson,Property Owner,betty.thompson@gmail.com,+1 (972) 321-6776,"11700 AUDELIA RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-063,Seller,Distressed Real Estate Seller,Private Residential Property,Christopher Smith,Property Owner,christopher.smith@gmail.com,+1 (214) 717-6337,"12321 BELLAFONTE DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-064,Seller,Distressed Real Estate Seller,Private Residential Property,Anthony Rodriguez,Property Owner,anthony.rodriguez@gmail.com,+1 (214) 713-5405,"12327 BELLAFONTE DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-065,Seller,Distressed Real Estate Seller,Private Residential Property,Michael Gonzalez,Property Owner,michael.gonzalez@gmail.com,+1 (469) 613-3038,"12220 HIGH POINT CIR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-066,Seller,Distressed Real Estate Seller,Private Residential Property,Margaret Walker,Property Owner,margaret.walker@gmail.com,+1 (469) 369-2681,"12116 HOBLITZELLE DR, DALLAS, TX, 75243",DALLAS,TX,Single Family Rental Needs Registration - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-067,Seller,Distressed Real Estate Seller,Private Residential Property,Anthony Smith,Property Owner,anthony.smith@gmail.com,+1 (972) 871-1813,"9617 LANSHIRE DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-068,Seller,Distressed Real Estate Seller,Private Residential Property,Mary Lee,Property Owner,mary.lee@gmail.com,+1 (469) 977-6307,"9900 ADLETA BLVD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-069,Seller,Distressed Real Estate Seller,Private Residential Property,Joseph Johnson,Property Owner,joseph.johnson@gmail.com,+1 (214) 877-4390,"9029 CHURCH RD, DALLAS, TX, 75231",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-070,Seller,Distressed Real Estate Seller,Private Residential Property,Christopher Allen,Property Owner,christopher.allen@gmail.com,+1 (214) 563-2902,"10610 METRIC DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-071,Seller,Distressed Real Estate Seller,Private Residential Property,Paul Harris,Property Owner,paul.harris@gmail.com,+1 (972) 371-5605,"10938 CACTUS LN, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-072,Seller,Distressed Real Estate Seller,Private Residential Property,Joseph Williams,Property Owner,joseph.williams@gmail.com,+1 (469) 949-6556,"8807 LOCKHAVEN DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-073,Seller,Distressed Real Estate Seller,Private Residential Property,Robert Moore,Property Owner,robert.moore@gmail.com,+1 (972) 929-3510,"9015 WINDY CREST DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-074,Seller,Distressed Real Estate Seller,Private Residential Property,Barbara Wilson,Property Owner,barbara.wilson@gmail.com,+1 (469) 818-8316,"12206 DANDRIDGE DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-075,Seller,Distressed Real Estate Seller,Private Residential Property,Daniel Harris,Property Owner,daniel.harris@gmail.com,+1 (972) 336-8451,"8330 GLEN REGAL DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-076,Seller,Distressed Real Estate Seller,Private Residential Property,William Rodriguez,Property Owner,william.rodriguez@gmail.com,+1 (469) 274-4581,"8329 GLEN REGAL DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-077,Seller,Distressed Real Estate Seller,Private Residential Property,John Brown,Property Owner,john.brown@gmail.com,+1 (469) 775-6661,"7324 SKILLMAN ST, DALLAS, TX, 75231",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-078,Seller,Distressed Real Estate Seller,Private Residential Property,Charles Allen,Property Owner,charles.allen@gmail.com,+1 (972) 412-2626,"8436 BIRCHCROFT DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-079,Seller,Distressed Real Estate Seller,Private Residential Property,Patricia Lopez,Property Owner,patricia.lopez@gmail.com,+1 (972) 848-4353,"11934 OAK HIGHLANDS DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-080,Seller,Distressed Real Estate Seller,Private Residential Property,Mary Anderson,Property Owner,mary.anderson@gmail.com,+1 (972) 935-6821,"8680 ABRAMS RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-081,Seller,Distressed Real Estate Seller,Private Residential Property,John Sanchez,Property Owner,john.sanchez@gmail.com,+1 (972) 672-8389,"8719 ARBOR PARK DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-082,Seller,Distressed Real Estate Seller,Private Residential Property,Karen Rodriguez,Property Owner,karen.rodriguez@gmail.com,+1 (972) 359-1408,"8411 ELLERY DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-083,Seller,Distressed Real Estate Seller,Private Residential Property,Susan Sanchez,Property Owner,susan.sanchez@gmail.com,+1 (214) 696-5388,"9801 WALNUT ST, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
