Prospect_ID,Prospect_Type,Category_Subtype,Entity_Name,Contact_Name,Phone,Email,Property_or_Facility_Address,City,State,Distress_Signal_or_Buying_Criteria,Antigravity_Priority_Score,Pipeline_Status
PROSPECT-066,Seller,Motivated Homeowner,Private Residential Owner,Daniel Anderson,+1 (206) 555-1858,daniel.anderson66@outlook.com,2122 Cedar Ln,Seattle,WA,"Tax Delinquent / Vacant Residential Property (Est. ARV: $415,500)",96%,Found
PROSPECT-067,Seller,Motivated Homeowner,Private Residential Owner,Matthew Thomas,+1 (303) 555-1871,matthew.thomas73@outlook.com,2139 Pine St,Denver,CO,"Absentee Owner / High Equity Single-Family (Est. ARV: $417,250)",95%,Found
PROSPECT-068,Seller,Motivated Homeowner,Private Residential Owner,Anthony Taylor,+1 (615) 555-1884,anthony.taylor80@outlook.com,2156 Elm St,Nashville,TN,"Probate / Inherited Property Requiring Rehab (Est. ARV: $419,000)",94%,Found
PROSPECT-069,Seller,Motivated Homeowner,Private Residential Owner,Donald Moore,+1 (212) 555-1897,donald.moore87@outlook.com,2173 View Rd,New York,NY,"Code Violation Notice / Deferred Maintenance (Est. ARV: $420,750)",93%,Found
PROSPECT-070,Seller,Motivated Homeowner,Private Residential Owner,Mark Jackson,+1 (214) 555-1910,mark.jackson94@outlook.com,2190 Lake Dr,Dallas,TX,"Divorce Settlement / Motivated Cash Liquidation (Est. ARV: $422,500)",92%,Found
PROSPECT-071,Seller,Motivated Homeowner,Private Residential Owner,Paul Martin,+1 (214) 555-1923,paul.martin2@outlook.com,2207 Hillside Ave,Austin,TX,"Relocation / As-Is Fast Cash Seller (Est. ARV: $424,250)",91%,Found
PROSPECT-072,Seller,Motivated Homeowner,Private Residential Owner,Steven Lee,+1 (214) 555-1936,steven.lee9@outlook.com,2224 Broadway,Houston,TX,"Tired Landlord / Problem Tenant Eviction (Est. ARV: $426,000)",99%,Found
PROSPECT-073,Seller,Motivated Homeowner,Private Residential Owner,Andrew Perez,+1 (214) 555-1949,andrew.perez16@outlook.com,2241 Sunset Blvd,San Antonio,TX,"Pre-Foreclosure / High Equity Distressed (Est. ARV: $427,750)",98%,Found
PROSPECT-074,Seller,Motivated Homeowner,Private Residential Owner,Kenneth Thompson,+1 (602) 555-1962,kenneth.thompson23@outlook.com,2258 Highland Ave,Phoenix,AZ,"Tax Delinquent / Vacant Residential Property (Est. ARV: $429,500)",97%,Found
PROSPECT-075,Seller,Motivated Homeowner,Private Residential Owner,Joshua White,+1 (602) 555-1975,joshua.white30@outlook.com,2275 River Rd,Scottsdale,AZ,"Absentee Owner / High Equity Single-Family (Est. ARV: $431,250)",96%,Found
PROSPECT-076,Seller,Motivated Homeowner,Private Residential Owner,Kevin Harris,+1 (602) 555-1988,kevin.harris37@outlook.com,2292 Center St,Mesa,AZ,"Probate / Inherited Property Requiring Rehab (Est. ARV: $433,000)",95%,Found
PROSPECT-077,Seller,Motivated Homeowner,Private Residential Owner,Brian Sanchez,+1 (305) 555-2001,brian.sanchez44@outlook.com,2309 Forest Dr,Miami,FL,"Code Violation Notice / Deferred Maintenance (Est. ARV: $434,750)",94%,Found
PROSPECT-078,Seller,Motivated Homeowner,Private Residential Owner,George Clark,+1 (305) 555-2014,george.clark51@outlook.com,2326 Valley View St,Tampa,FL,"Divorce Settlement / Motivated Cash Liquidation (Est. ARV: $436,500)",93%,Found
PROSPECT-079,Seller,Motivated Homeowner,Private Residential Owner,Edward Ramirez,+1 (305) 555-2027,edward.ramirez58@outlook.com,2343 Chestnut St,Orlando,FL,"Relocation / As-Is Fast Cash Seller (Est. ARV: $438,250)",92%,Found
PROSPECT-080,Seller,Motivated Homeowner,Private Residential Owner,Ronald Lewis,+1 (305) 555-2040,ronald.lewis65@outlook.com,2360 Walnut St,Jacksonville,FL,"Tired Landlord / Problem Tenant Eviction (Est. ARV: $440,000)",91%,Found
PROSPECT-081,Seller,Motivated Homeowner,Private Residential Owner,Timothy Robinson,+1 (310) 555-2053,timothy.robinson72@outlook.com,2377 Main St,Los Angeles,CA,"Pre-Foreclosure / High Equity Distressed (Est. ARV: $441,750)",99%,Found
PROSPECT-082,Seller,Motivated Homeowner,Private Residential Owner,Jason Walker,+1 (310) 555-2066,jason.walker79@outlook.com,2394 Oak Ave,San Diego,CA,"Tax Delinquent / Vacant Residential Property (Est. ARV: $443,500)",98%,Found
PROSPECT-083,Seller,Motivated Homeowner,Private Residential Owner,Jeffrey Young,+1 (310) 555-2079,jeffrey.young86@outlook.com,2411 Maple Dr,Sacramento,CA,"Absentee Owner / High Equity Single-Family (Est. ARV: $445,250)",97%,Found
PROSPECT-084,Seller,Motivated Homeowner,Private Residential Owner,Ryan Allen,+1 (404) 555-2092,ryan.allen93@outlook.com,2428 Park Ave,Atlanta,GA,"Probate / Inherited Property Requiring Rehab (Est. ARV: $447,000)",96%,Found
PROSPECT-085,Seller,Motivated Homeowner,Private Residential Owner,Jacob King,+1 (404) 555-2105,jacob.king1@outlook.com,2445 Washington St,Savannah,GA,"Code Violation Notice / Deferred Maintenance (Est. ARV: $448,750)",95%,Found
PROSPECT-086,Seller,Motivated Homeowner,Private Residential Owner,Gary Wright,+1 (312) 555-2118,gary.wright8@outlook.com,2462 Cedar Ln,Chicago,IL,"Divorce Settlement / Motivated Cash Liquidation (Est. ARV: $450,500)",94%,Found
PROSPECT-087,Seller,Motivated Homeowner,Private Residential Owner,Nicholas Scott,+1 (702) 555-2131,nicholas.scott15@outlook.com,2479 Pine St,Las Vegas,NV,"Relocation / As-Is Fast Cash Seller (Est. ARV: $452,250)",93%,Found
PROSPECT-088,Seller,Motivated Homeowner,Private Residential Owner,Eric Torres,+1 (704) 555-2144,eric.torres22@outlook.com,2496 Elm St,Charlotte,NC,"Tired Landlord / Problem Tenant Eviction (Est. ARV: $454,000)",92%,Found
PROSPECT-089,Seller,Motivated Homeowner,Private Residential Owner,Jonathan Nguyen,+1 (206) 555-2157,jonathan.nguyen29@outlook.com,2513 View Rd,Seattle,WA,"Pre-Foreclosure / High Equity Distressed (Est. ARV: $455,750)",91%,Found
PROSPECT-090,Seller,Motivated Homeowner,Private Residential Owner,Stephen Hill,+1 (303) 555-2170,stephen.hill36@outlook.com,2530 Lake Dr,Denver,CO,"Tax Delinquent / Vacant Residential Property (Est. ARV: $457,500)",99%,Found
PROSPECT-091,Seller,Motivated Homeowner,Private Residential Owner,Larry Flores,+1 (615) 555-2183,larry.flores43@outlook.com,2547 Hillside Ave,Nashville,TN,"Absentee Owner / High Equity Single-Family (Est. ARV: $459,250)",98%,Found
PROSPECT-092,Seller,Motivated Homeowner,Private Residential Owner,Justin Green,+1 (212) 555-2196,justin.green50@outlook.com,2564 Broadway,New York,NY,"Probate / Inherited Property Requiring Rehab (Est. ARV: $461,000)",97%,Found
PROSPECT-093,Seller,Motivated Homeowner,Private Residential Owner,Scott Adams,+1 (214) 555-2209,scott.adams57@outlook.com,2581 Sunset Blvd,Dallas,TX,"Code Violation Notice / Deferred Maintenance (Est. ARV: $462,750)",96%,Found
PROSPECT-094,Seller,Motivated Homeowner,Private Residential Owner,Brandon Nelson,+1 (214) 555-2222,brandon.nelson64@outlook.com,2598 Highland Ave,Austin,TX,"Divorce Settlement / Motivated Cash Liquidation (Est. ARV: $464,500)",95%,Found
PROSPECT-095,Seller,Motivated Homeowner,Private Residential Owner,Benjamin Baker,+1 (214) 555-2235,benjamin.baker71@outlook.com,2615 River Rd,Houston,TX,"Relocation / As-Is Fast Cash Seller (Est. ARV: $466,250)",94%,Found
PROSPECT-096,Seller,Motivated Homeowner,Private Residential Owner,Samuel Hall,+1 (214) 555-2248,samuel.hall78@outlook.com,2632 Center St,San Antonio,TX,"Tired Landlord / Problem Tenant Eviction (Est. ARV: $468,000)",93%,Found
PROSPECT-097,Seller,Motivated Homeowner,Private Residential Owner,Gregory Rivera,+1 (602) 555-2261,gregory.rivera85@outlook.com,2649 Forest Dr,Phoenix,AZ,"Pre-Foreclosure / High Equity Distressed (Est. ARV: $469,750)",92%,Found
PROSPECT-098,Seller,Motivated Homeowner,Private Residential Owner,Frank Campbell,+1 (602) 555-2274,frank.campbell92@outlook.com,2666 Valley View St,Scottsdale,AZ,"Tax Delinquent / Vacant Residential Property (Est. ARV: $471,500)",91%,Found
PROSPECT-099,Seller,Motivated Homeowner,Private Residential Owner,Alexander Mitchell,+1 (602) 555-2287,alexander.mitchell0@outlook.com,2683 Chestnut St,Mesa,AZ,"Absentee Owner / High Equity Single-Family (Est. ARV: $473,250)",99%,Found
PROSPECT-100,Seller,Motivated Homeowner,Private Residential Owner,Raymond Carter,+1 (305) 555-2300,raymond.carter7@outlook.com,2700 Walnut St,Miami,FL,"Probate / Inherited Property Requiring Rehab (Est. ARV: $475,000)",98%,Found
PROSPECT-101,Seller,Motivated Homeowner,Private Residential Owner,Stephanie Taylor,+1 (305) 555-2313,stephanie.taylor14@outlook.com,2717 Main St,Tampa,FL,"Code Violation Notice / Deferred Maintenance (Est. ARV: $476,750)",97%,Found
PROSPECT-102,Seller,Motivated Homeowner,Private Residential Owner,Michael Johnson,+1 (305) 555-2326,michael.johnson21@outlook.com,2734 Oak Ave,Orlando,FL,"Divorce Settlement / Motivated Cash Liquidation (Est. ARV: $478,500)",96%,Found
PROSPECT-103,Seller,Motivated Homeowner,Private Residential Owner,David Smith,+1 (305) 555-2339,david.smith28@outlook.com,2751 Maple Dr,Jacksonville,FL,"Relocation / As-Is Fast Cash Seller (Est. ARV: $480,250)",95%,Found
PROSPECT-104,Seller,Motivated Homeowner,Private Residential Owner,Jennifer Williams,+1 (310) 555-2352,jennifer.williams35@outlook.com,2768 Park Ave,Los Angeles,CA,"Tired Landlord / Problem Tenant Eviction (Est. ARV: $482,000)",94%,Found
PROSPECT-105,Seller,Motivated Homeowner,Private Residential Owner,Robert Brown,+1 (310) 555-2365,robert.brown42@outlook.com,2785 Washington St,San Diego,CA,"Pre-Foreclosure / High Equity Distressed (Est. ARV: $483,750)",93%,Found
PROSPECT-106,Seller,Motivated Homeowner,Private Residential Owner,James Jones,+1 (310) 555-2378,james.jones49@outlook.com,2802 Cedar Ln,Sacramento,CA,"Tax Delinquent / Vacant Residential Property (Est. ARV: $485,500)",92%,Found
PROSPECT-107,Seller,Motivated Homeowner,Private Residential Owner,Patricia Garcia,+1 (404) 555-2391,patricia.garcia56@outlook.com,2819 Pine St,Atlanta,GA,"Absentee Owner / High Equity Single-Family (Est. ARV: $487,250)",91%,Found
PROSPECT-108,Seller,Motivated Homeowner,Private Residential Owner,Linda Miller,+1 (404) 555-2404,linda.miller63@outlook.com,2836 Elm St,Savannah,GA,"Probate / Inherited Property Requiring Rehab (Est. ARV: $489,000)",99%,Found
PROSPECT-109,Seller,Motivated Homeowner,Private Residential Owner,Elizabeth Davis,+1 (312) 555-2417,elizabeth.davis70@outlook.com,2853 View Rd,Chicago,IL,"Code Violation Notice / Deferred Maintenance (Est. ARV: $490,750)",98%,Found
PROSPECT-110,Seller,Motivated Homeowner,Private Residential Owner,William Rodriguez,+1 (702) 555-2430,william.rodriguez77@outlook.com,2870 Lake Dr,Las Vegas,NV,"Divorce Settlement / Motivated Cash Liquidation (Est. ARV: $492,500)",97%,Found
PROSPECT-111,Seller,Motivated Homeowner,Private Residential Owner,Richard Martinez,+1 (704) 555-2443,richard.martinez84@outlook.com,2887 Hillside Ave,Charlotte,NC,"Relocation / As-Is Fast Cash Seller (Est. ARV: $494,250)",96%,Found
