lead_id,first_name,last_name,phone,email,company,address,city,state,zip,lead_type,distress_signal,motivation_profile,asking_price,est_equity,score,grade,source,status
TX-S-0081,Kenneth,Nelson,+18063528886,kenneth.nelson@hotmail.com,,8261 Summit Ave,Amarillo,TX,79185,Seller,Lien,Inherited Family Estate (Probate),454603,199800,96,A+,Texas Lead Gen,NEW
TX-S-0088,William,Parker,+18066198053,william.parker@outlook.com,,4006 Elm St,Lubbock,TX,79480,Seller,Bankruptcy,Tax Lien & Pre-Foreclosure Opportunity,941062,349771,96,A+,Texas Lead Gen,NEW
TX-S-0034,Mark,Gonzalez,+12144136705,mark.gonzalez@aol.com,,2723 Monroe Ct,McKinney,TX,75070,Seller,High Equity,Inherited Property - Not Interested,579630,391964,95,A+,Texas Lead Gen,NEW
TX-S-0039,Matthew,Gonzalez,+19729195232,matthew.gonzalez@yahoo.com,,9688 Cedar Ave,Garland,TX,75041,Seller,Bankruptcy,Vacant Property - High Equity,568051,381126,95,A+,Texas Lead Gen,NEW
TX-S-0045,Brian,Patel,+16826176238,brian.patel@yahoo.com,,895 Sunset Way,Arlington,TX,76091,Seller,Absentee Owner,Inherited Property - Not Interested,941930,197497,95,A+,Texas Lead Gen,NEW
TX-S-0104,Emma,Kim,+19157473622,emma45@outlook.com,,1133 Maple Dr,El Paso,TX,79935,Seller,Bankruptcy,Out-of-State Absentee Landlord,902945,84795,95,A+,Texas Lead Gen,NEW
TX-S-0113,Harold,Thompson,+14095855315,hthompson@hotmail.com,,1094 Jefferson Ct,Beaumont,TX,77735,Seller,Bankruptcy,Avoiding Foreclosure Auction,654278,186751,95,A+,Texas Lead Gen,NEW
TX-S-0184,Douglas,Garcia,+18322078379,douglas47@yahoo.com,,9081 Sunset Dr,Houston,TX,77053,Seller,High Equity,Divorce Settlement Required,437516,150700,95,A+,Texas Lead Gen,NEW
TX-S-0190,Kathleen,Hernandez,+16824679665,kathleen.hernandez@outlook.com,,4952 Canyon Pl,Fort Worth,TX,76180,Seller,Bankruptcy,Behind on Mortgage Payments,703876,57996,95,A+,Texas Lead Gen,NEW
TX-B-0014,Scott,Gomez,+19038093923,scott.gomez@gmail.com,,,Tyler,TX,,Buyer,,REIT,0,0,95,A+,Texas Lead Gen,NEW
TX-B-0034,Betty,Reed,+14696811240,betty.reed@gmail.com,,,Irving,TX,,Buyer,,Buy and Hold,0,0,95,A+,Texas Lead Gen,NEW
TX-B-0037,Daniel,Price,+12146327673,daniel.price@outlook.com,Aaron Group,,Dallas,TX,,Buyer,,Buy and Hold,0,0,95,A+,Texas Lead Gen,NEW
TX-B-0079,Pamela,Sanchez,+14697641212,pamela.sanchez@gmail.com,,,Frisco,TX,,Buyer,,Wholesaler,0,0,95,A+,Texas Lead Gen,NEW
TX-S-0032,Cynthia,Williams,+14693077468,cynthia6@hotmail.com,,4568 River St,Dallas,TX,75261,Seller,Fire Damage,Property in Probate - Estate Settlement,836423,266068,94,A+,Texas Lead Gen,NEW
TX-S-0099,Katherine,Brown,+14692897003,katherine14@outlook.com,,4289 Cedar Pkwy,McKinney,TX,75070,Seller,Utility Shutoff,Vacant Property - High Equity,545314,124430,94,A+,Texas Lead Gen,NEW
TX-S-0122,Amy,Lewis,+14324944348,alewis@gmail.com,,9340 Innovation Pl,Odessa,TX,79768,Seller,Judgment,Job Relocation - Must Sell Fast,335609,184210,94,A+,Texas Lead Gen,NEW
TX-S-0193,Paul,Allen,+16829825954,pallen@yahoo.com,,5505 Jefferson Dr,Fort Worth,TX,76124,Seller,Code Violation,Divorce Settlement Required,845976,102064,94,A+,Texas Lead Gen,NEW
TX-B-0052,Patricia,Bailey,+14325807785,patricia.bailey@outlook.com,Katherine Developments,,Midland,TX,,Buyer,,Buy and Hold,0,0,94,A+,Texas Lead Gen,NEW
TX-B-0057,Catherine,Ramos,+19036738534,catherine.ramos@yahoo.com,Douglas Holdings,,Tyler,TX,,Buyer,,Developer,0,0,94,A+,Texas Lead Gen,NEW
TX-B-0068,Richard,Gomez,+18322878563,richard.gomez@yahoo.com,Eric Capital Partners,,Houston,TX,,Buyer,,Wholesaler,0,0,94,A+,Texas Lead Gen,NEW
TX-B-0071,Katherine,Clark,+12548805409,katherine.clark@outlook.com,Helen Solutions,,Waco,TX,,Buyer,,Wholesaler,0,0,94,A+,Texas Lead Gen,NEW
TX-S-0025,Jerry,Phillips,+19722387924,jerry.phillips@aol.com,,3560 Enterprise Dr,Irving,TX,75049,Seller,Fire Damage,Distressed Property - Code Violations,424389,151398,93,A+,Texas Lead Gen,NEW
TX-S-0044,Eric,Alvarez,+14323886667,eric.alvarez@yahoo.com,,4674 Sunset St,Midland,TX,79763,Seller,Code Violation,Property in Probate - Estate Settlement,612210,211739,93,A+,Texas Lead Gen,NEW
TX-S-0071,Jeffrey,Morales,+13616295677,jeffrey60@outlook.com,,7551 River Rd,Corpus Christi,TX,78497,Seller,Pre-Foreclosure,Divorce Settlement Required,778184,165686,93,A+,Texas Lead Gen,NEW
TX-S-0124,Kenneth,Martin,+14697272951,kmartin@gmail.com,,2261 Harrison Blvd,Garland,TX,75041,Seller,Pre-Foreclosure,Tired Landlord - Ready to Exit,216198,340799,93,A+,Texas Lead Gen,NEW
TX-S-0145,Cynthia,Evans,+12142002739,cynthia.evans@outlook.com,,9991 Maple Blvd,Dallas,TX,75211,Seller,Condemned,Financial Hardship - Needs Cash,875273,75380,93,A+,Texas Lead Gen,NEW
TX-B-0080,Jason,Sanders,+13615545095,jason.sanders@gmail.com,,,Corpus Christi,TX,,Buyer,,Buy and Hold,0,0,93,A+,Texas Lead Gen,NEW
TX-B-0094,Steven,Roberts,+14326618926,steven.roberts@outlook.com,Alexander Home Buyers,,Odessa,TX,,Buyer,,Investor,0,0,93,A+,Texas Lead Gen,NEW
TX-B-0008,Brian,Allen,+12545088545,brian.allen@yahoo.com,,,Waco,TX,,Buyer,,Cash Buyer,0,0,92,A+,Texas Lead Gen,NEW
TX-B-0016,Christopher,Jones,+13619025360,christopher.jones@yahoo.com,Ronald Investments,,Corpus Christi,TX,,Buyer,,Developer,0,0,92,A+,Texas Lead Gen,NEW
TX-B-0019,Barbara,Carter,+14095867304,barbara.carter@yahoo.com,,,Beaumont,TX,,Buyer,,REIT,0,0,92,A+,Texas Lead Gen,NEW
TX-B-0064,Jeffrey,Wood,+18069979128,jeffrey.wood@outlook.com,Charles Capital Partners,,Lubbock,TX,,Buyer,,Buy and Hold,0,0,92,A+,Texas Lead Gen,NEW
TX-B-0086,Janet,White,+14692001589,janet.white@yahoo.com,Amy Acquisitions,,Garland,TX,,Buyer,,Investor,0,0,92,A+,Texas Lead Gen,NEW
TX-S-0047,Christine,Alvarez,+14699929047,calvarez@gmail.com,,3939 Garden Ave,Frisco,TX,75033,Seller,Bankruptcy,Divorce Settlement Required,617496,83823,91,A+,Texas Lead Gen,NEW
TX-S-0063,Raymond,Richardson,+17268698359,rrichardson@gmail.com,,8621 Madison Rd,San Antonio,TX,78246,Seller,Vacant Property,Job Relocation - Must Sell Fast,160217,145483,91,A+,Texas Lead Gen,NEW
TX-S-0086,Peter,Murphy,+18174616157,peter14@gmail.com,,6181 Highland Pl,Arlington,TX,76002,Seller,Pre-Foreclosure,Avoiding Foreclosure Auction,458929,240286,91,A+,Texas Lead Gen,NEW
TX-S-0135,Anthony,Reyes,+14696354810,anthony49@hotmail.com,,6287 Monroe Dr,Plano,TX,75045,Seller,Probate,Absentee Owner - Lives Out of State,237879,306986,91,A+,Texas Lead Gen,NEW
TX-B-0002,Michael,Evans,+19036369177,michael.evans@yahoo.com,Carolyn Properties,,Tyler,TX,,Buyer,,Fix & Flip,0,0,91,A+,Texas Lead Gen,NEW
TX-B-0029,Pamela,Ramirez,+12146456786,pamela.ramirez@yahoo.com,,,Garland,TX,,Buyer,,Cash Buyer,0,0,91,A+,Texas Lead Gen,NEW
TX-B-0073,Patricia,Jackson,+18066483961,patricia.jackson@yahoo.com,Aaron Solutions,,Lubbock,TX,,Buyer,,Wholesaler,0,0,91,A+,Texas Lead Gen,NEW
TX-S-0119,James,Parker,+18069042686,james15@yahoo.com,,3341 Highland Rd,Lubbock,TX,79453,Seller,Eviction,Behind on Mortgage Payments,246689,90779,90,A+,Texas Lead Gen,NEW
TX-S-0167,Alexander,Adams,+16827967943,aadams@hotmail.com,,6493 Washington Way,Arlington,TX,76074,Seller,Absentee Owner,Job Relocation - Must Sell Fast,658858,278663,90,A+,Texas Lead Gen,NEW
TX-S-0187,Carolyn,Cook,+14329625881,carolyn.cook@outlook.com,,1788 Oak Rd,Midland,TX,79729,Seller,Tax Delinquent,Avoiding Foreclosure Auction,220266,317370,90,A+,Texas Lead Gen,NEW
TX-B-0024,Joshua,Hill,+19034221737,joshua.hill@yahoo.com,,,Tyler,TX,,Buyer,,REIT,0,0,90,A+,Texas Lead Gen,NEW
TX-S-0036,Carolyn,Harris,+19726202052,carolyn.harris@outlook.com,,5477 Hickory Ct,Irving,TX,75051,Seller,Eviction,Absentee Owner - Lives Out of State,748658,354168,89,A,Texas Lead Gen,NEW
TX-S-0153,Amanda,Wright,+18068635956,awright@hotmail.com,,2402 Main Ave,Amarillo,TX,79174,Seller,Bankruptcy,Property Needs Major Repairs,567581,255879,89,A,Texas Lead Gen,NEW
TX-B-0050,Anthony,Morales,+14094953039,anthony.morales@yahoo.com,Henry Real Estate,,Beaumont,TX,,Buyer,,Wholesaler,0,0,89,A,Texas Lead Gen,NEW
TX-B-0058,Rachel,Ruiz,+14096844385,rachel.ruiz@yahoo.com,,,Beaumont,TX,,Buyer,,REIT,0,0,89,A,Texas Lead Gen,NEW
TX-B-0067,Peter,Sanchez,+18068454700,peter.sanchez@outlook.com,,,Lubbock,TX,,Buyer,,Wholesaler,0,0,89,A,Texas Lead Gen,NEW
TX-S-0014,Dennis,Parker,+12142094410,dennis.parker@outlook.com,,9351 Enterprise Dr,Dallas,TX,75254,Seller,Absentee Owner,Divorce Settlement Required,211219,170710,88,A,Texas Lead Gen,NEW
TX-S-0029,Douglas,Mitchell,+12149595214,douglas.mitchell@gmail.com,,3876 Valley Ct,Plano,TX,75050,Seller,Pre-Foreclosure,Vacant Property - High Equity,732533,304776,88,A,Texas Lead Gen,NEW
TX-S-0143,Anthony,Myers,+18176636509,anthony92@gmail.com,,6707 Technology Pkwy,Fort Worth,TX,76150,Seller,Condemned,Divorce Settlement Required,750194,169677,88,A,Texas Lead Gen,NEW
TX-S-0199,Jennifer,Wilson,+19034608506,jwilson@outlook.com,,1430 Hill Ln,Tyler,TX,75794,Seller,Judgment,Tired Landlord - Ready to Exit,564230,378173,88,A,Texas Lead Gen,NEW
TX-B-0006,Margaret,Anderson,+14323062197,margaret.anderson@yahoo.com,,,Midland,TX,,Buyer,,Wholesaler,0,0,88,A,Texas Lead Gen,NEW
TX-B-0033,George,Bailey,+14094487899,george.bailey@yahoo.com,Robert Partners,,Beaumont,TX,,Buyer,,Developer,0,0,88,A,Texas Lead Gen,NEW
TX-S-0011,George,Flores,+17263188279,gflores@outlook.com,,7202 Innovation Blvd,San Antonio,TX,78252,Seller,Probate,Inherited Family Estate (Probate),193455,57106,87,A,Texas Lead Gen,NEW
TX-S-0012,Christopher,Brooks,+18062208296,christopher1@yahoo.com,,3149 Pine Dr,Amarillo,TX,79180,Seller,Lien,Absentee Owner - Lives Out of State,761642,388886,87,A,Texas Lead Gen,NEW
TX-S-0057,Nicole,Anderson,+18062432095,nicole45@gmail.com,,7792 Summit Ct,Lubbock,TX,79414,Seller,Code Violation,Absentee Owner - Lives Out of State,413609,373789,87,A,Texas Lead Gen,NEW
TX-S-0142,William,Morgan,+15122652533,william.morgan@hotmail.com,,190 Sunrise Pl,Austin,TX,78783,Seller,Judgment,Vacant Property - High Equity,775431,379319,87,A,Texas Lead Gen,NEW
TX-B-0003,Anna,Lewis,+14322908151,anna.lewis@gmail.com,Carolyn Estates,,Odessa,TX,,Buyer,,Property Manager,0,0,87,A,Texas Lead Gen,NEW
TX-B-0010,Margaret,Walker,+18326448593,margaret.walker@outlook.com,Lisa Properties,,Houston,TX,,Buyer,,Investor,0,0,87,A,Texas Lead Gen,NEW
TX-B-0015,Michelle,Kim,+19038025736,michelle.kim@yahoo.com,William Solutions,,Tyler,TX,,Buyer,,Developer,0,0,87,A,Texas Lead Gen,NEW
TX-B-0041,Maria,Wilson,+19727031623,maria.wilson@gmail.com,Samuel Investments,,Frisco,TX,,Buyer,,Wholesaler,0,0,87,A,Texas Lead Gen,NEW
TX-B-0066,Donna,Clark,+17132009443,donna.clark@yahoo.com,,,Houston,TX,,Buyer,,Fix & Flip,0,0,87,A,Texas Lead Gen,NEW
TX-B-0088,Daniel,Wilson,+19723092180,daniel.wilson@gmail.com,,,Garland,TX,,Buyer,,Wholesaler,0,0,87,A,Texas Lead Gen,NEW
TX-B-0095,Samantha,Martinez,+19722679718,samantha.martinez@gmail.com,Barbara Developments,,Plano,TX,,Buyer,,Investor,0,0,87,A,Texas Lead Gen,NEW
TX-S-0098,Jerry,Reyes,+18064084994,jerry38@aol.com,,4759 Adams Ct,Amarillo,TX,79150,Seller,Tax Delinquent,Inherited Family Estate (Probate),632041,196708,86,A,Texas Lead Gen,NEW
TX-S-0136,Amy,Flores,+18177456049,aflores@outlook.com,,1767 Forest Rd,Fort Worth,TX,76146,Seller,Bankruptcy,Job Relocation - Must Sell Fast,517087,111823,86,A,Texas Lead Gen,NEW
TX-B-0042,Sarah,Jones,+14697634689,sarah.jones@outlook.com,,,Frisco,TX,,Buyer,,Buy and Hold,0,0,86,A,Texas Lead Gen,NEW
TX-B-0055,Ronald,Ross,+18328411545,ronald.ross@gmail.com,,,Houston,TX,,Buyer,,Property Manager,0,0,86,A,Texas Lead Gen,NEW
TX-S-0096,Jonathan,Chavez,+12143327886,jchavez@hotmail.com,,3698 Jefferson Dr,Frisco,TX,75036,Seller,Tax Delinquent,Absentee Owner - Lives Out of State,347375,150341,85,A,Texas Lead Gen,NEW
TX-S-0107,Matthew,Wood,+12546977664,mwood@hotmail.com,,8758 Sunrise Blvd,Waco,TX,76754,Seller,Code Violation,Inherited Property - Not Interested,227293,392607,85,A,Texas Lead Gen,NEW
TX-S-0198,Rebecca,Lopez,+18068849216,rlopez@hotmail.com,,9888 Washington Dr,Lubbock,TX,79497,Seller,Utility Shutoff,Out-of-State Absentee Landlord,272561,347009,85,A,Texas Lead Gen,NEW
TX-B-0021,Richard,Turner,+18178954595,richard.turner@outlook.com,,,Arlington,TX,,Buyer,,Property Manager,0,0,85,A,Texas Lead Gen,NEW
TX-B-0032,Robert,Clark,+19728202905,robert.clark@outlook.com,,,Dallas,TX,,Buyer,,Wholesaler,0,0,85,A,Texas Lead Gen,NEW
TX-B-0056,Betty,Ross,+12146413356,betty.ross@yahoo.com,Ronald Group,,Irving,TX,,Buyer,,REIT,0,0,85,A,Texas Lead Gen,NEW
TX-S-0006,Christine,Howard,+14323499212,christine.howard@outlook.com,,3941 Canyon St,Odessa,TX,79768,Seller,Condemned,Inherited Property - Not Interested,900311,208005,84,A,Texas Lead Gen,NEW
TX-S-0028,George,Ramos,+12145815877,gramos@yahoo.com,,4488 Ridge Blvd,McKinney,TX,75072,Seller,Vacant Property,Tax Lien & Pre-Foreclosure Opportunity,691334,138193,84,A,Texas Lead Gen,NEW
TX-S-0110,Benjamin,Brown,+15129979045,benjamin.brown@outlook.com,,6486 Valley Dr,Austin,TX,78788,Seller,Bankruptcy,Tax Lien & Pre-Foreclosure Opportunity,769795,75057,84,A,Texas Lead Gen,NEW
TX-S-0160,Emily,Flores,+14329879907,eflores@outlook.com,,5198 Ridge St,Midland,TX,79713,Seller,Bankruptcy,Distressed Property - Code Violations,594071,105728,84,A,Texas Lead Gen,NEW
TX-S-0192,Charles,Kelly,+19158361788,ckelly@outlook.com,,4770 Main Ct,El Paso,TX,79963,Seller,Code Violation,Inherited Family Estate (Probate),882250,352317,84,A,Texas Lead Gen,NEW
TX-B-0043,Henry,Hall,+17265622848,henry.hall@outlook.com,Pamela Ventures,,San Antonio,TX,,Buyer,,Buy and Hold,0,0,84,A,Texas Lead Gen,NEW
TX-B-0051,George,Collins,+18172615292,george.collins@gmail.com,Angela Partners,,Fort Worth,TX,,Buyer,,REIT,0,0,84,A,Texas Lead Gen,NEW
TX-B-0061,Peter,Robinson,+18062753530,peter.robinson@yahoo.com,,,Lubbock,TX,,Buyer,,Buy and Hold,0,0,84,A,Texas Lead Gen,NEW
TX-S-0055,Brandon,Green,+14693733224,brandon84@gmail.com,,1644 Technology Pl,Dallas,TX,75263,Seller,Bankruptcy,Avoiding Foreclosure Auction,942309,271280,83,A,Texas Lead Gen,NEW
TX-S-0158,Joshua,Mendoza,+17267296789,joshua48@outlook.com,,3110 Jackson Pl,San Antonio,TX,78290,Seller,Absentee Owner,Tired Landlord - Ready to Exit,469249,160641,83,A,Texas Lead Gen,NEW
TX-B-0062,Anthony,Cox,+19722566767,anthony.cox@gmail.com,Stephen Properties,,Irving,TX,,Buyer,,Investor,0,0,83,A,Texas Lead Gen,NEW
TX-S-0089,Emily,Cook,+12148622123,emily72@aol.com,,5331 Technology Blvd,Dallas,TX,75297,Seller,Judgment,Property Needs Major Repairs,304258,127504,82,A,Texas Lead Gen,NEW
TX-S-0133,Ashley,Smith,+18175911698,ashley.smith@yahoo.com,,3967 Summit Pl,Arlington,TX,76048,Seller,Fire Damage,Property Needs Major Repairs,919502,304783,82,A,Texas Lead Gen,NEW
TX-S-0138,Emma,Gonzalez,+17265481424,egonzalez@gmail.com,,5196 Sunrise Dr,San Antonio,TX,78232,Seller,Eviction,Behind on Mortgage Payments,756456,343446,82,A,Texas Lead Gen,NEW
TX-S-0200,Donna,Torres,+14699979503,dtorres@aol.com,,1590 Enterprise Ct,Dallas,TX,75260,Seller,Absentee Owner,Avoiding Foreclosure Auction,852974,309175,82,A,Texas Lead Gen,NEW
TX-B-0100,Helen,Lewis,+14698063346,helen.lewis@outlook.com,,,Plano,TX,,Buyer,,Developer,0,0,82,A,Texas Lead Gen,NEW
TX-S-0074,Timothy,Campbell,+12544627812,tcampbell@hotmail.com,,4094 Birch Blvd,Waco,TX,76753,Seller,Pre-Foreclosure,Absentee Owner - Lives Out of State,221647,114826,81,A,Texas Lead Gen,NEW
TX-B-0013,Emily,King,+16826119393,emily.king@outlook.com,,,Fort Worth,TX,,Buyer,,Property Manager,0,0,81,A,Texas Lead Gen,NEW
TX-B-0018,Carol,Rodriguez,+12147851521,carol.rodriguez@gmail.com,Alexander Solutions,,Irving,TX,,Buyer,,Property Manager,0,0,81,A,Texas Lead Gen,NEW
TX-B-0022,Henry,Sanders,+14093139770,henry.sanders@outlook.com,Nicholas Home Buyers,,Beaumont,TX,,Buyer,,Buy and Hold,0,0,81,A,Texas Lead Gen,NEW
TX-B-0031,Samantha,Green,+14698031775,samantha.green@gmail.com,Jose Wholesalers,,Garland,TX,,Buyer,,Wholesaler,0,0,81,A,Texas Lead Gen,NEW
TX-B-0076,Jason,Campbell,+18069787628,jason.campbell@yahoo.com,Scott Realty,,Amarillo,TX,,Buyer,,Wholesaler,0,0,81,A,Texas Lead Gen,NEW
TX-B-0084,Douglas,Bennett,+12107443697,douglas.bennett@outlook.com,George Investments,,San Antonio,TX,,Buyer,,Wholesaler,0,0,81,A,Texas Lead Gen,NEW
TX-S-0094,Timothy,Garcia,+19729393366,timothy.garcia@yahoo.com,,5193 Meadow Way,Garland,TX,75041,Seller,Fire Damage,Distressed Property - Code Violations,802149,207084,80,A,Texas Lead Gen,NEW
TX-S-0161,Jack,Ward,+14329589021,jack.ward@aol.com,,4746 Adams Ct,Midland,TX,79703,Seller,Eviction,Inherited Family Estate (Probate),544443,167299,80,A,Texas Lead Gen,NEW
TX-B-0047,Peter,Ramirez,+19155815826,peter.ramirez@gmail.com,Rebecca Group,,El Paso,TX,,Buyer,,Investor,0,0,80,A,Texas Lead Gen,NEW
TX-B-0049,Thomas,Parker,+18064643259,thomas.parker@outlook.com,Sandra Realty,,Amarillo,TX,,Buyer,,Wholesaler,0,0,80,A,Texas Lead Gen,NEW
TX-B-0054,Heather,Hughes,+14324885320,heather.hughes@yahoo.com,Sarah Acquisitions,,Odessa,TX,,Buyer,,Wholesaler,0,0,80,A,Texas Lead Gen,NEW
TX-S-0003,Patrick,Price,+14327839648,patrick.price@aol.com,,2540 Meadow Dr,Odessa,TX,79762,Seller,Probate,Distressed Property - Code Violations,931140,290413,79,B,Texas Lead Gen,NEW
TX-S-0041,George,Long,+14325381266,george.long@hotmail.com,,9677 Highland Pl,Midland,TX,79782,Seller,Vacant Property,Inherited Property - Not Interested,333011,116337,79,B,Texas Lead Gen,NEW
TX-S-0060,Karen,Alvarez,+13613871608,karen.alvarez@aol.com,,9853 Harrison Blvd,Corpus Christi,TX,78411,Seller,Bankruptcy,Job Relocation - Must Sell Fast,192455,237899,79,B,Texas Lead Gen,NEW
TX-S-0134,Kevin,Stewart,+12143728784,kevin.stewart@aol.com,,3287 Walnut Blvd,Irving,TX,75037,Seller,Pre-Foreclosure,Property in Probate - Estate Settlement,432483,231707,79,B,Texas Lead Gen,NEW
TX-S-0144,George,Gomez,+18069551672,george.gomez@gmail.com,,1890 Park Way,Amarillo,TX,79188,Seller,Absentee Owner,Avoiding Foreclosure Auction,666349,372425,79,B,Texas Lead Gen,NEW
TX-S-0159,Richard,Bennett,+12107739896,richard59@aol.com,,6915 Adams Ave,San Antonio,TX,78260,Seller,Absentee Owner,Property in Probate - Estate Settlement,643445,133991,79,B,Texas Lead Gen,NEW
TX-S-0173,Jerry,Wood,+14698956885,jerry.wood@gmail.com,,4623 Adams Ln,Plano,TX,75024,Seller,Judgment,Inherited Family Estate (Probate),666281,320305,79,B,Texas Lead Gen,NEW
TX-B-0065,Sharon,Clark,+14323983095,sharon.clark@outlook.com,,,Midland,TX,,Buyer,,Property Manager,0,0,79,B,Texas Lead Gen,NEW
TX-S-0087,Tyler,Watson,+15129151700,tyler73@outlook.com,,4507 Sunrise Pkwy,Austin,TX,78789,Seller,Code Violation,Out-of-State Absentee Landlord,938489,85354,78,B,Texas Lead Gen,NEW
TX-S-0137,Patricia,Phillips,+14324772080,pphillips@hotmail.com,,4901 Lincoln Blvd,Midland,TX,79770,Seller,Utility Shutoff,Job Relocation - Must Sell Fast,683254,145281,78,B,Texas Lead Gen,NEW
TX-S-0154,Catherine,Torres,+14699058107,catherine.torres@gmail.com,,6220 Peak Dr,Garland,TX,75047,Seller,Judgment,Inherited Family Estate (Probate),387303,161288,78,B,Texas Lead Gen,NEW
TX-S-0157,James,Nelson,+12145753630,jnelson@hotmail.com,,5223 Chestnut Dr,Dallas,TX,75298,Seller,Code Violation,Financial Hardship - Needs Cash,926125,79246,78,B,Texas Lead Gen,NEW
TX-S-0188,Dorothy,Scott,+12143441012,dscott@outlook.com,,3339 Hill Ave,Dallas,TX,75220,Seller,Fire Damage,Property Needs Major Repairs,718106,259056,78,B,Texas Lead Gen,NEW
TX-B-0074,Samantha,Richardson,+12546318932,samantha.richardson@outlook.com,Raymond Holdings,,Waco,TX,,Buyer,,REIT,0,0,78,B,Texas Lead Gen,NEW
TX-B-0083,Emma,Flores,+14696753192,emma.flores@yahoo.com,Melissa Realty,,Frisco,TX,,Buyer,,REIT,0,0,78,B,Texas Lead Gen,NEW
TX-S-0027,Raymond,Stewart,+12544487877,raymond.stewart@yahoo.com,,7258 River Way,Waco,TX,76743,Seller,Code Violation,Inherited Property - Not Interested,424556,205636,77,B,Texas Lead Gen,NEW
TX-S-0035,Maria,Perez,+18062831416,mperez@hotmail.com,,9138 Forest Ave,Lubbock,TX,79498,Seller,Lien,Avoiding Foreclosure Auction,577756,82826,77,B,Texas Lead Gen,NEW
TX-S-0079,Jack,Carter,+14329128066,jcarter@aol.com,,2147 Highland Pl,Odessa,TX,79761,Seller,Absentee Owner,Divorce Settlement Required,817632,138994,77,B,Texas Lead Gen,NEW
TX-S-0115,Carolyn,Nelson,+18069824168,carolyn.nelson@yahoo.com,,3678 Industrial Rd,Amarillo,TX,79182,Seller,Bankruptcy,Financial Hardship - Needs Cash,557133,158319,77,B,Texas Lead Gen,NEW
TX-S-0126,Elizabeth,Clark,+19723236503,eclark@hotmail.com,,9681 Industrial Ln,Plano,TX,75057,Seller,Utility Shutoff,Divorce Settlement Required,277678,205987,77,B,Texas Lead Gen,NEW
TX-B-0020,Rachel,Peterson,+19159657000,rachel.peterson@gmail.com,Edward Realty,,El Paso,TX,,Buyer,,Cash Buyer,0,0,77,B,Texas Lead Gen,NEW
TX-B-0039,Harold,Jones,+17262156289,harold.jones@gmail.com,Ronald Realty,,San Antonio,TX,,Buyer,,REIT,0,0,77,B,Texas Lead Gen,NEW
TX-S-0020,Angela,Gonzalez,+16826603192,angela.gonzalez@hotmail.com,,170 Meadow Ct,Fort Worth,TX,76104,Seller,Code Violation,Tired Landlord - Ready to Exit,226542,177673,76,B,Texas Lead Gen,NEW
TX-S-0033,Eric,Ross,+17266702144,eric.ross@hotmail.com,,8538 Business Ct,San Antonio,TX,78261,Seller,Bankruptcy,Property in Probate - Estate Settlement,305565,251491,76,B,Texas Lead Gen,NEW
