lead_id,first_name,last_name,phone,email,company,address,city,state,state_code,zip,lead_type,distress_signal,motivation_profile,asking_price,est_equity,score,grade,source,status
IL-S-0709,Irene,Chavez,+16306489725,irene.chavez@hotmail.com,,3286 Monroe St,Aurora,Illinois,IL,66588,Seller,Condemned,Property Needs Major Repairs,926559,178934,98,A+,Nationwide Lead Gen,NEW
IN-S-0771,Samuel,Gutierrez,+13172829500,samuel.gutierrez@hotmail.com,,5538 Industrial Ave,Indianapolis,Indiana,IN,46206,Seller,Absentee Owner,Financial Hardship - Needs Cash,314681,357008,98,A+,Nationwide Lead Gen,NEW
MD-S-1080,Larry,Thompson,+13017094687,larry.thompson@yahoo.com,,1639 Hickory Blvd,Gaithersburg,Maryland,MD,99917,Seller,Lien,Property Needs Major Repairs,837648,115521,98,A+,Nationwide Lead Gen,NEW
MI-S-1245,Zachary,Kelly,+13135594113,zachary.kelly@outlook.com,,8045 River Pkwy,Detroit,Michigan,MI,48284,Seller,Absentee Owner,Divorce Settlement Required,775747,303479,98,A+,Nationwide Lead Gen,NEW
MN-S-1300,Benjamin,Jackson,+12187003861,benjamin.jackson@yahoo.com,,4639 Creek Rd,Duluth,Minnesota,MN,22120,Seller,Vacant Property,Divorce Settlement Required,355916,316485,98,A+,Nationwide Lead Gen,NEW
MN-S-1320,Shirley,Reyes,+16513464976,shirley.reyes@outlook.com,,9216 Chestnut Ave,St. Paul,Minnesota,MN,51363,Seller,Fire Damage,Out-of-State Absentee Landlord,826748,187458,98,A+,Nationwide Lead Gen,NEW
MN-S-1322,Carolyn,Collins,+15075765285,carolyn.collins@yahoo.com,,5824 Garden Ave,Rochester,Minnesota,MN,66370,Seller,Probate,Out-of-State Absentee Landlord,625440,88776,98,A+,Nationwide Lead Gen,NEW
NJ-S-1600,Jeffrey,Cooper,+12018387547,jeffrey.cooper@outlook.com,,4730 Garden Pl,Jersey City,New Jersey,NJ,17041,Seller,Code Violation,Distressed Property - Code Violations,869558,263658,98,A+,Nationwide Lead Gen,NEW
NJ-S-1604,Irene,Alvarez,+19736738364,irene.alvarez@hotmail.com,,763 Valley Ave,Newark,New Jersey,NJ,7155,Seller,Fire Damage,Job Relocation - Must Sell Fast,696544,346654,98,A+,Nationwide Lead Gen,NEW
NY-S-1718,Sarah,Reyes,+12127901471,sarah.reyes@yahoo.com,,6005 Enterprise Ct,New York City,New York,NY,10086,Seller,Absentee Owner,Behind on Mortgage Payments,221805,286608,98,A+,Nationwide Lead Gen,NEW
NY-S-1742,Angela,Lee,+15187487494,angela.lee@yahoo.com,,1468 Spring Ln,Albany,New York,NY,91564,Seller,Code Violation,Tired Landlord - Ready to Exit,853829,393580,98,A+,Nationwide Lead Gen,NEW
NC-S-1803,Samantha,Wood,+19199903285,samantha.wood@gmail.com,,8485 Summit Rd,Durham,North Carolina,NC,31022,Seller,Judgment,Inherited Family Estate (Probate),909557,268363,98,A+,Nationwide Lead Gen,NEW
NC-S-1811,Jessica,Turner,+19807335817,jessica.turner@yahoo.com,,2721 River Ln,Charlotte,North Carolina,NC,28217,Seller,Fire Damage,Financial Hardship - Needs Cash,374057,310756,98,A+,Nationwide Lead Gen,NEW
ND-S-1859,Elena,Gutierrez,+17012533793,elena.gutierrez@gmail.com,,8895 Industrial Pl,Fargo,North Dakota,ND,58141,Seller,Utility Shutoff,Avoiding Foreclosure Auction,708623,376037,98,A+,Nationwide Lead Gen,NEW
OH-S-1902,Angela,Cook,+12163521914,angela.cook@yahoo.com,,4501 Main Dr,Cleveland,Ohio,OH,81154,Seller,Code Violation,Tired Landlord - Ready to Exit,168744,180258,98,A+,Nationwide Lead Gen,NEW
OK-S-1953,Yolanda,Miller,+14056287674,yolanda.miller@outlook.com,,5670 Spring Pl,Norman,Oklahoma,OK,77231,Seller,Pre-Foreclosure,Property Needs Major Repairs,878790,149107,98,A+,Nationwide Lead Gen,NEW
OK-S-1971,Tyler,Cook,+19182877990,tyler.cook@gmail.com,,8238 Adams Rd,Broken Arrow,Oklahoma,OK,14886,Seller,Judgment,Tax Lien & Pre-Foreclosure Opportunity,295383,307654,98,A+,Nationwide Lead Gen,NEW
OK-S-1991,Raymond,Gomez,+14055532696,raymond.gomez@hotmail.com,,7053 Canyon Ct,Norman,Oklahoma,OK,45840,Seller,Eviction,Property in Probate - Estate Settlement,917117,346799,98,A+,Nationwide Lead Gen,NEW
OK-S-1997,Jonathan,Rodriguez,+14056313635,jonathan.rodriguez@gmail.com,,4174 Industrial Ln,Oklahoma City,Oklahoma,OK,73130,Seller,High Equity,Inherited Family Estate (Probate),426625,329722,98,A+,Nationwide Lead Gen,NEW
PA-S-2110,Samuel,Walker,+14123193253,samuel.walker@hotmail.com,,2700 Chestnut Dr,Pittsburgh,Pennsylvania,PA,55568,Seller,Code Violation,Absentee Owner - Lives Out of State,313080,180217,98,A+,Nationwide Lead Gen,NEW
PA-S-2112,Aaron,Brooks,+18145568447,aaron.brooks@gmail.com,,8694 Maple Rd,Erie,Pennsylvania,PA,82194,Seller,Fire Damage,Property Needs Major Repairs,214132,284550,98,A+,Nationwide Lead Gen,NEW
PA-S-2125,Timothy,Wright,+16104654402,timothy.wright@outlook.com,,8661 Madison Blvd,Allentown,Pennsylvania,PA,92095,Seller,Tax Delinquent,Job Relocation - Must Sell Fast,776236,184045,98,A+,Nationwide Lead Gen,NEW
RI-S-2181,Samuel,Howard,+14012319835,samuel.howard@gmail.com,,5256 Highland St,Providence,Rhode Island,RI,2947,Seller,Bankruptcy,Inherited Property - Not Interested,710116,218878,98,A+,Nationwide Lead Gen,NEW
SC-S-2247,Carol,Rivera,+18436132362,carol.rivera@hotmail.com,,6140 Lincoln St,Charleston,South Carolina,SC,29488,Seller,Probate,Tax Lien & Pre-Foreclosure Opportunity,160826,355371,98,A+,Nationwide Lead Gen,NEW
TN-S-2312,Steven,Gomez,+14238486938,steven.gomez@hotmail.com,,1206 Chestnut Ln,Chattanooga,Tennessee,TN,27901,Seller,Pre-Foreclosure,Inherited Property - Not Interested,501868,169105,98,A+,Nationwide Lead Gen,NEW
TN-S-2327,John,Taylor,+16152471746,john.taylor@yahoo.com,,4209 Adams St,Nashville,Tennessee,TN,37289,Seller,Judgment,Tax Lien & Pre-Foreclosure Opportunity,254968,248330,98,A+,Nationwide Lead Gen,NEW
TN-S-2331,Patricia,Hall,+14233222783,patricia.hall@gmail.com,,9752 Madison Pl,Chattanooga,Tennessee,TN,18996,Seller,Absentee Owner,Distressed Property - Code Violations,323698,260005,98,A+,Nationwide Lead Gen,NEW
TX-S-2398,Robert,Nguyen,+19158233492,robert.nguyen@aol.com,,4181 Industrial Blvd,El Paso,Texas,TX,85128,Seller,Utility Shutoff,Absentee Owner - Lives Out of State,349655,192612,98,A+,Nationwide Lead Gen,NEW
VA-S-2614,Nancy,Scott,+17579702807,nancy.scott@aol.com,,8839 Sunrise Pkwy,Norfolk,Virginia,VA,69680,Seller,Condemned,Job Relocation - Must Sell Fast,384074,240099,98,A+,Nationwide Lead Gen,NEW
WA-S-2686,Donna,Morgan,+12533147457,donna.morgan@gmail.com,,873 Main St,Tacoma,Washington,WA,39857,Seller,Probate,Tired Landlord - Ready to Exit,639660,239716,98,A+,Nationwide Lead Gen,NEW
WA-S-2688,Nicole,Murphy,+15095676579,nicole.murphy@aol.com,,1200 Forest Way,Spokane,Washington,WA,41247,Seller,Pre-Foreclosure,Property Needs Major Repairs,575158,287645,98,A+,Nationwide Lead Gen,NEW
WV-S-2718,Stephen,Hughes,+13047885467,stephen.hughes@yahoo.com,,6154 Lincoln St,Parkersburg,West Virginia,WV,54591,Seller,Tax Delinquent,Inherited Property - Not Interested,933840,342166,98,A+,Nationwide Lead Gen,NEW
WI-S-2747,Gregory,Ward,+16089855188,gregory.ward@outlook.com,,4774 River Rd,Madison,Wisconsin,WI,38644,Seller,Tax Delinquent,Absentee Owner - Lives Out of State,256637,228244,98,A+,Nationwide Lead Gen,NEW
AL-S-0006,Sandra,Ramirez,+13347552911,sandra.ramirez@hotmail.com,,9553 Park Way,Montgomery,Alabama,AL,36134,Seller,Code Violation,Inherited Property - Not Interested,390711,95887,97,A+,Nationwide Lead Gen,NEW
AL-S-0007,Emma,Ward,+12516631082,emma.ward@yahoo.com,,5604 Washington Way,Mobile,Alabama,AL,50053,Seller,High Equity,Avoiding Foreclosure Auction,485502,387944,97,A+,Nationwide Lead Gen,NEW
AL-S-0015,Carlos,Collins,+16593852898,carlos.collins@aol.com,,4704 Technology Dr,Birmingham,Alabama,AL,35218,Seller,Pre-Foreclosure,Property Needs Major Repairs,148049,283074,97,A+,Nationwide Lead Gen,NEW
AL-S-0029,Shirley,Sanchez,+12565575432,shirley.sanchez@yahoo.com,,7644 Elm Ct,Huntsville,Alabama,AL,66737,Seller,Lien,Job Relocation - Must Sell Fast,167325,323975,97,A+,Nationwide Lead Gen,NEW
AK-S-0078,Edward,Evans,+19078031012,edward.evans@gmail.com,,5863 Lake Ct,Juneau,Alaska,AK,12676,Seller,Condemned,Absentee Owner - Lives Out of State,922264,63718,97,A+,Nationwide Lead Gen,NEW
AZ-S-0125,Carlos,Bennett,+14803193493,carlos.bennett@hotmail.com,,5374 Hickory Way,Chandler,Arizona,AZ,80847,Seller,Fire Damage,Tired Landlord - Ready to Exit,471898,289134,97,A+,Nationwide Lead Gen,NEW
AR-S-0183,Douglas,Clark,+14793624473,douglas.clark@aol.com,,4007 Jackson St,Fayetteville,Arkansas,AR,32079,Seller,Bankruptcy,Tax Lien & Pre-Foreclosure Opportunity,659960,46910,97,A+,Nationwide Lead Gen,NEW
CO-S-0292,Douglas,Patel,+13036522988,douglas.patel@aol.com,,5807 Monroe Way,Denver,Colorado,CO,80226,Seller,Condemned,Avoiding Foreclosure Auction,144105,223284,97,A+,Nationwide Lead Gen,NEW
CO-S-0324,Carlos,Bennett,+19707891340,carlos.bennett@outlook.com,,8160 Harrison Pl,Fort Collins,Colorado,CO,74280,Seller,Condemned,Inherited Family Estate (Probate),156725,222746,97,A+,Nationwide Lead Gen,NEW
CT-S-0407,Karen,Walker,+12037936213,karen.walker@outlook.com,,1550 Harrison Pkwy,Stamford,Connecticut,CT,43171,Seller,Condemned,Out-of-State Absentee Landlord,479168,236121,97,A+,Nationwide Lead Gen,NEW
GA-S-0563,Steven,Howard,+17065986149,steven.howard@outlook.com,,6459 Summit Ct,Augusta,Georgia,GA,59837,Seller,Judgment,Tired Landlord - Ready to Exit,612762,124514,97,A+,Nationwide Lead Gen,NEW
ID-S-0664,Peter,Peterson,+12089107510,peter.peterson@yahoo.com,,3660 Spring Ct,Idaho Falls,Idaho,ID,46484,Seller,Tax Delinquent,Out-of-State Absentee Landlord,321000,242076,97,A+,Nationwide Lead Gen,NEW
IL-S-0692,Heather,James,+16307773675,heather.james@gmail.com,,736 Forest Dr,Aurora,Illinois,IL,76090,Seller,Tax Delinquent,Avoiding Foreclosure Auction,936237,104195,97,A+,Nationwide Lead Gen,NEW
IN-S-0766,Richard,Cox,+14632716660,richard.cox@aol.com,,6392 Commerce Rd,Indianapolis,Indiana,IN,46267,Seller,Eviction,Property Needs Major Repairs,398960,203537,97,A+,Nationwide Lead Gen,NEW
KY-S-0934,Kenneth,Jackson,+18595899386,kenneth.jackson@aol.com,,4734 Hickory St,Lexington,Kentucky,KY,36775,Seller,Lien,Job Relocation - Must Sell Fast,491290,317669,97,A+,Nationwide Lead Gen,NEW
LA-S-0985,Emma,Lewis,+15045573342,emma.lewis@aol.com,,2649 Vista Pl,New Orleans,Louisiana,LA,70195,Seller,Absentee Owner,Tax Lien & Pre-Foreclosure Opportunity,570039,151129,97,A+,Nationwide Lead Gen,NEW
LA-S-1002,Justin,Allen,+13184126642,justin.allen@hotmail.com,,9207 Valley Ln,Shreveport,Louisiana,LA,36647,Seller,Eviction,Distressed Property - Code Violations,385567,133956,97,A+,Nationwide Lead Gen,NEW
LA-S-1004,Samantha,Gray,+12259547759,samantha.gray@aol.com,,3112 Technology Way,Baton Rouge,Louisiana,LA,13074,Seller,Utility Shutoff,Financial Hardship - Needs Cash,796172,251527,97,A+,Nationwide Lead Gen,NEW
MA-S-1147,Michael,Anderson,+16172918946,michael.anderson@outlook.com,,5158 Peak Pl,Boston,Massachusetts,MA,2153,Seller,Absentee Owner,Tired Landlord - Ready to Exit,767846,187456,97,A+,Nationwide Lead Gen,NEW
MI-S-1232,Ryan,Ramos,+15174247861,ryan.ramos@yahoo.com,,8060 Oak Pkwy,Lansing,Michigan,MI,34857,Seller,Lien,Tax Lien & Pre-Foreclosure Opportunity,252830,105864,97,A+,Nationwide Lead Gen,NEW
MI-S-1253,Michael,Collins,+17348949679,michael.collins@outlook.com,,2226 Spring Blvd,Ann Arbor,Michigan,MI,40173,Seller,Vacant Property,Absentee Owner - Lives Out of State,781089,242540,97,A+,Nationwide Lead Gen,NEW
MN-S-1309,Pamela,Rivera,+16128606699,pamela.rivera@hotmail.com,,6602 Canyon Ln,Minneapolis,Minnesota,MN,55415,Seller,Probate,Behind on Mortgage Payments,244517,131394,97,A+,Nationwide Lead Gen,NEW
MO-S-1416,Carolyn,Peterson,+18163571420,carolyn.peterson@hotmail.com,,8917 Main Dr,Independence,Missouri,MO,75550,Seller,Fire Damage,Property in Probate - Estate Settlement,558905,320885,97,A+,Nationwide Lead Gen,NEW
MO-S-1432,Alexander,Long,+16365523624,alexander.long@aol.com,,718 Maple Blvd,St. Louis,Missouri,MO,90204,Seller,Tax Delinquent,Inherited Family Estate (Probate),162855,55087,97,A+,Nationwide Lead Gen,NEW
MT-S-1486,Nathan,Gutierrez,+14069439379,nathan.gutierrez@gmail.com,,3844 Lincoln Pkwy,Billings,Montana,MT,59126,Seller,Probate,Behind on Mortgage Payments,876817,278474,97,A+,Nationwide Lead Gen,NEW
NE-S-1516,Zachary,Wilson,+14027654422,zachary.wilson@aol.com,,2378 Forest Blvd,Lincoln,Nebraska,NE,35945,Seller,Lien,Distressed Property - Code Violations,517247,377064,97,A+,Nationwide Lead Gen,NEW
NV-S-1536,Shirley,Anderson,+17023645855,shirley.anderson@gmail.com,,4460 Technology Pl,Las Vegas,Nevada,NV,89144,Seller,Probate,Absentee Owner - Lives Out of State,296392,273582,97,A+,Nationwide Lead Gen,NEW
NJ-S-1592,Donna,Davis,+19736484005,donna.davis@gmail.com,,3945 Jefferson Ave,Paterson,New Jersey,NJ,29238,Seller,Judgment,Avoiding Foreclosure Auction,124395,288125,97,A+,Nationwide Lead Gen,NEW
NJ-S-1617,Gloria,Martinez,+19736098453,gloria.martinez@yahoo.com,,9562 Ridge Ave,Newark,New Jersey,NJ,7137,Seller,Tax Delinquent,Behind on Mortgage Payments,559825,236628,97,A+,Nationwide Lead Gen,NEW
NY-S-1743,Mark,Gray,+17168146768,mark.gray@hotmail.com,,6820 Creek Ln,Buffalo,New York,NY,14219,Seller,Code Violation,Inherited Property - Not Interested,131331,160339,97,A+,Nationwide Lead Gen,NEW
NY-S-1745,Stephanie,Turner,+15853153758,stephanie.turner@yahoo.com,,8916 Lake Ave,Rochester,New York,NY,42739,Seller,Absentee Owner,Inherited Family Estate (Probate),281199,391220,97,A+,Nationwide Lead Gen,NEW
NC-S-1804,Mark,Morris,+19194337079,mark.morris@yahoo.com,,2008 Peak Ave,Durham,North Carolina,NC,11052,Seller,Code Violation,Property Needs Major Repairs,261711,377979,97,A+,Nationwide Lead Gen,NEW
OH-S-1882,Margaret,Torres,+15135351470,margaret.torres@yahoo.com,,7113 Lake St,Cincinnati,Ohio,OH,66910,Seller,Tax Delinquent,Inherited Property - Not Interested,292548,360939,97,A+,Nationwide Lead Gen,NEW
OK-S-1960,Tyler,Diaz,+14056633905,tyler.diaz@outlook.com,,8133 Meadow Ct,Oklahoma City,Oklahoma,OK,73180,Seller,Utility Shutoff,Avoiding Foreclosure Auction,345077,88049,97,A+,Nationwide Lead Gen,NEW
OK-S-1961,Gloria,Morgan,+14057634509,gloria.morgan@gmail.com,,1317 Main St,Norman,Oklahoma,OK,73830,Seller,Utility Shutoff,Property Needs Major Repairs,639281,362192,97,A+,Nationwide Lead Gen,NEW
OK-S-1978,Kevin,Cruz,+14059495541,kevin.cruz@aol.com,,6820 Madison Pl,Norman,Oklahoma,OK,57824,Seller,Absentee Owner,Divorce Settlement Required,176448,272543,97,A+,Nationwide Lead Gen,NEW
OK-S-1999,George,Smith,+14059425948,george.smith@hotmail.com,,7048 Adams Ct,Norman,Oklahoma,OK,28147,Seller,Bankruptcy,Property in Probate - Estate Settlement,541481,112326,97,A+,Nationwide Lead Gen,NEW
OR-S-2029,Andrew,Morgan,+15418658983,andrew.morgan@gmail.com,,7623 Business Rd,Eugene,Oregon,OR,57325,Seller,Eviction,Out-of-State Absentee Landlord,737360,40038,97,A+,Nationwide Lead Gen,NEW
SC-S-2254,Kimberly,Scott,+18642563068,kimberly.scott@gmail.com,,7396 Meadow Way,Greenville,South Carolina,SC,69845,Seller,Probate,Property Needs Major Repairs,385946,361616,97,A+,Nationwide Lead Gen,NEW
TX-S-2419,Dennis,Jimenez,+17376856604,dennis.jimenez@aol.com,,4926 Business Pl,Austin,Texas,TX,37285,Seller,Utility Shutoff,Vacant Property - High Equity,722724,91558,97,A+,Nationwide Lead Gen,NEW
TX-S-2429,Barbara,Allen,+17379583875,barbara.allen@gmail.com,,2058 Jackson Way,Austin,Texas,TX,51265,Seller,Judgment,Inherited Family Estate (Probate),576591,142080,97,A+,Nationwide Lead Gen,NEW
UT-S-2470,David,Clark,+18013213666,david.clark@yahoo.com,,4237 Ridge Blvd,Ogden,Utah,UT,16495,Seller,Tax Delinquent,Inherited Family Estate (Probate),757311,372121,97,A+,Nationwide Lead Gen,NEW
UT-S-2509,Elizabeth,Allen,+18012448156,elizabeth.allen@aol.com,,8482 Business Ave,Ogden,Utah,UT,77610,Seller,Tax Delinquent,Behind on Mortgage Payments,314603,397869,97,A+,Nationwide Lead Gen,NEW
VT-S-2547,Nancy,Harris,+18026168534,nancy.harris@outlook.com,,1067 Birch Rd,Burlington,Vermont,VT,5492,Seller,Probate,Behind on Mortgage Payments,604968,162385,97,A+,Nationwide Lead Gen,NEW
WI-S-2755,Aaron,Garcia,+16082832028,aaron.garcia@outlook.com,,2630 Harrison St,Madison,Wisconsin,WI,56114,Seller,Tax Delinquent,Inherited Property - Not Interested,249919,168061,97,A+,Nationwide Lead Gen,NEW
AL-S-0013,Susan,Rogers,+12516301906,susan.rogers@yahoo.com,,3867 Peak Pl,Mobile,Alabama,AL,51116,Seller,Pre-Foreclosure,Tired Landlord - Ready to Exit,739078,286860,96,A+,Nationwide Lead Gen,NEW
AL-S-0028,Jacob,Anderson,+12512527693,jacob.anderson@gmail.com,,4051 Industrial Blvd,Mobile,Alabama,AL,36179,Seller,Code Violation,Property Needs Major Repairs,633887,45346,96,A+,Nationwide Lead Gen,NEW
AL-S-0040,Ashley,Carter,+12519751099,ashley.carter@aol.com,,4334 Lake Pl,Mobile,Alabama,AL,84380,Seller,Tax Delinquent,Divorce Settlement Required,900429,199509,96,A+,Nationwide Lead Gen,NEW
AL-S-0046,Gary,Evans,+12517313209,gary.evans@gmail.com,,9859 Hill Pl,Mobile,Alabama,AL,37439,Seller,Lien,Property Needs Major Repairs,687130,96376,96,A+,Nationwide Lead Gen,NEW
CO-S-0301,Jeffrey,Mendoza,+17207298443,jeffrey.mendoza@outlook.com,,1208 Innovation St,Denver,Colorado,CO,80225,Seller,Probate,Job Relocation - Must Sell Fast,443338,133077,96,A+,Nationwide Lead Gen,NEW
FL-S-0467,Emma,Hughes,+19546996933,emma.hughes@gmail.com,,261 River Ave,Fort Lauderdale,Florida,FL,25802,Seller,Fire Damage,Inherited Family Estate (Probate),240040,247995,96,A+,Nationwide Lead Gen,NEW
FL-S-0475,John,Collins,+16898884085,john.collins@aol.com,,8125 Ridge Blvd,Orlando,Florida,FL,32893,Seller,Eviction,Out-of-State Absentee Landlord,739850,172473,96,A+,Nationwide Lead Gen,NEW
FL-S-0476,Linda,Hill,+19545395546,linda.hill@gmail.com,,6297 Madison Way,Fort Lauderdale,Florida,FL,56243,Seller,Probate,Distressed Property - Code Violations,378747,95346,96,A+,Nationwide Lead Gen,NEW
GA-S-0551,Joshua,Parker,+17707978101,joshua.parker@hotmail.com,,1348 Park Dr,Atlanta,Georgia,GA,30311,Seller,Code Violation,Avoiding Foreclosure Auction,762324,221255,96,A+,Nationwide Lead Gen,NEW
GA-S-0572,Shirley,Taylor,+14047683745,shirley.taylor@aol.com,,369 Park Pkwy,Atlanta,Georgia,GA,30303,Seller,Eviction,Out-of-State Absentee Landlord,508359,60450,96,A+,Nationwide Lead Gen,NEW
ID-S-0652,Andrew,James,+12082028546,andrew.james@hotmail.com,,751 Walnut Pkwy,Nampa,Idaho,ID,53720,Seller,Fire Damage,Inherited Family Estate (Probate),524554,300618,96,A+,Nationwide Lead Gen,NEW
IL-S-0717,George,Mitchell,+16305099424,george.mitchell@aol.com,,9807 Spring Blvd,Aurora,Illinois,IL,64852,Seller,Condemned,Distressed Property - Code Violations,201049,103266,96,A+,Nationwide Lead Gen,NEW
IL-S-0721,Donna,Nelson,+18722316118,donna.nelson@aol.com,,7725 Innovation Pkwy,Chicago,Illinois,IL,60641,Seller,Pre-Foreclosure,Inherited Property - Not Interested,297512,79041,96,A+,Nationwide Lead Gen,NEW
IN-S-0765,Emma,Diaz,+12606086213,emma.diaz@outlook.com,,7928 Lake Way,Fort Wayne,Indiana,IN,21624,Seller,Condemned,Tax Lien & Pre-Foreclosure Opportunity,351545,284825,96,A+,Nationwide Lead Gen,NEW
IN-S-0774,Alexander,Morgan,+18125757116,alexander.morgan@gmail.com,,2125 Hill Rd,Evansville,Indiana,IN,74040,Seller,Vacant Property,Behind on Mortgage Payments,430986,305510,96,A+,Nationwide Lead Gen,NEW
IN-S-0785,Adam,Stewart,+18127042555,adam.stewart@aol.com,,200 Elm Ct,Evansville,Indiana,IN,55020,Seller,Bankruptcy,Property Needs Major Repairs,359601,112441,96,A+,Nationwide Lead Gen,NEW
KY-S-0895,Brenda,Hall,+18598228144,brenda.hall@aol.com,,7481 Peak Rd,Covington,Kentucky,KY,64169,Seller,Vacant Property,Property in Probate - Estate Settlement,904844,230165,96,A+,Nationwide Lead Gen,NEW
KY-S-0935,Gregory,Jimenez,+18595588583,gregory.jimenez@aol.com,,2505 Chestnut Pkwy,Lexington,Kentucky,KY,23595,Seller,Probate,Vacant Property - High Equity,787853,115271,96,A+,Nationwide Lead Gen,NEW
LA-S-0979,Joseph,James,+13187937381,joseph.james@aol.com,,4064 Cedar Ave,Shreveport,Louisiana,LA,93688,Seller,High Equity,Inherited Family Estate (Probate),734238,119945,96,A+,Nationwide Lead Gen,NEW
MA-S-1163,Karen,Morales,+16172052713,karen.morales@outlook.com,,7204 Valley Pl,Boston,Massachusetts,MA,2168,Seller,Condemned,Financial Hardship - Needs Cash,646953,180970,96,A+,Nationwide Lead Gen,NEW
MN-S-1301,Douglas,Wilson,+15074452556,douglas.wilson@gmail.com,,3673 Chestnut St,Rochester,Minnesota,MN,53761,Seller,Fire Damage,Distressed Property - Code Violations,349558,186808,96,A+,Nationwide Lead Gen,NEW
MN-S-1317,John,Smith,+16513455044,john.smith@outlook.com,,5529 Lincoln Blvd,St. Paul,Minnesota,MN,54769,Seller,Judgment,Behind on Mortgage Payments,276042,63460,96,A+,Nationwide Lead Gen,NEW
MO-S-1420,Charles,Richardson,+14178209609,charles.richardson@aol.com,,9784 Ridge Ave,Springfield,Missouri,MO,93552,Seller,Tax Delinquent,Out-of-State Absentee Landlord,817340,97825,96,A+,Nationwide Lead Gen,NEW
MO-S-1423,Kenneth,Howard,+18162922235,kenneth.howard@hotmail.com,,5657 Jefferson Blvd,Kansas City,Missouri,MO,64184,Seller,Utility Shutoff,Tax Lien & Pre-Foreclosure Opportunity,458985,367244,96,A+,Nationwide Lead Gen,NEW
MT-S-1484,Susan,Cook,+14066466712,susan.cook@aol.com,,8539 Peak Pkwy,Great Falls,Montana,MT,65225,Seller,High Equity,Tax Lien & Pre-Foreclosure Opportunity,149631,380825,96,A+,Nationwide Lead Gen,NEW
NH-S-1574,Yolanda,Parker,+16032264722,yolanda.parker@outlook.com,,8383 Meadow Dr,Nashua,New Hampshire,NH,14084,Seller,Eviction,Property in Probate - Estate Settlement,455967,54084,96,A+,Nationwide Lead Gen,NEW
NJ-S-1609,Nicole,Wilson,+19736142809,nicole.wilson@aol.com,,8490 Business Ln,Paterson,New Jersey,NJ,69444,Seller,Fire Damage,Job Relocation - Must Sell Fast,234494,230157,96,A+,Nationwide Lead Gen,NEW
NC-S-1799,Aaron,Gutierrez,+13365849775,aaron.gutierrez@aol.com,,1523 Valley St,Greensboro,North Carolina,NC,85521,Seller,Probate,Property in Probate - Estate Settlement,865286,282604,96,A+,Nationwide Lead Gen,NEW
OH-S-1880,Christine,King,+13303483890,christine.king@outlook.com,,4332 Business Way,Akron,Ohio,OH,36164,Seller,Pre-Foreclosure,Property Needs Major Repairs,445504,151339,96,A+,Nationwide Lead Gen,NEW
OR-S-2030,Carol,Reed,+15417222372,carol.reed@gmail.com,,6389 Oak Dr,Bend,Oregon,OR,26138,Seller,Bankruptcy,Distressed Property - Code Violations,948658,115212,96,A+,Nationwide Lead Gen,NEW
