source,type,entity,contact,email,phone,website,address,city,state,distress,confidence,status
master,Buyer Contact,Prime Capital,James Smith,james@primecapital.com,+1 852-981-6641,https://www.primecapital.com,,"Atlanta, GA",GA,,,New
master,Buyer Contact,Prime Capital,Christopher Martinez,christopher@primecapital.com,+1 255-267-7352,https://www.primecapital.com,,"Atlanta, GA",GA,,,New
master,Buyer Contact,Stellar Capital,Jessica Garcia,jessica@stellarcapital.com,+1 660-587-1548,https://www.stellarcapital.com,,"Houston, TX",TX,,,New
master,Buyer Contact,Summit Capital,Robert Smith,robert@summitcapital.com,+1 241-232-7515,https://www.summitcapital.com,,"Austin, TX",TX,,,New
master,Buyer Contact,Titan Capital,Emily Rodriguez,emily@titancapital.com,+1 855-522-7924,https://www.titancapital.com,,"Houston, TX",TX,,,New
master,Buyer Contact,Velocity Capital,Christopher Johnson,christopher@velocitycapital.com,+1 250-547-4537,https://www.velocitycapital.com,,"Denver, CO",CO,,,New
master,Buyer Contact,Apex Home Buyers,Christopher Martinez,christopher@apexhomebuyers.com,+1 819-809-6397,https://www.apexhomebuyers.com,,"Miami, FL",FL,,,New
master,Buyer Contact,BlueSky Home Buyers,Brian Brown,brian@blueskyhomebuyers.com,+1 494-213-1187,https://www.blueskyhomebuyers.com,,"Houston, TX",TX,,,New
master,Buyer Contact,BlueSky Home Buyers,James Rodriguez,james@blueskyhomebuyers.com,+1 679-254-4977,https://www.blueskyhomebuyers.com,,"Tampa, FL",FL,,,New
master,Buyer Contact,BlueSky Home Buyers,John Garcia,john@blueskyhomebuyers.com,+1 597-451-4744,https://www.blueskyhomebuyers.com,,"Dallas, TX",TX,,,New
master,Buyer Contact,BlueSky Home Buyers,Christopher Miller,christopher@blueskyhomebuyers.com,+1 493-763-5655,https://www.blueskyhomebuyers.com,,"Atlanta, GA",GA,,,New
master,Buyer Contact,Eagle Home Buyers,Robert Williams,robert@eaglehomebuyers.com,+1 464-239-2451,https://www.eaglehomebuyers.com,,"Charlotte, NC",NC,,,New
master,Buyer Contact,Horizon Home Buyers,James Miller,james@horizonhomebuyers.com,+1 672-538-1290,https://www.horizonhomebuyers.com,,"Austin, TX",TX,,,New
master,Buyer Contact,NextGen Home Buyers,John Garcia,john@nextgenhomebuyers.com,+1 921-938-8059,https://www.nextgenhomebuyers.com,,"Houston, TX",TX,,,New
master,Buyer Contact,NextGen Home Buyers,David Brown,david@nextgenhomebuyers.com,+1 471-709-8196,https://www.nextgenhomebuyers.com,,"Dallas, TX",TX,,,New
master,Buyer Contact,Nova Home Buyers,Ashley Williams,ashley@novahomebuyers.com,+1 839-479-5936,https://www.novahomebuyers.com,,"Dallas, TX",TX,,,New
